node_id,node_type,name,class,sentience_level,role_type,event_type,artifact_type,org_type,status,source
ENTITY:KILLRCANARY,ENTITY,KillrCanary,AI,AI,,,,,ACTIVE,Chromebook 2
ENTITY:PITBULLPLUS,ENTITY,PitbullPlus,AI,AI,,,,,ACTIVE,Chromebook 1
ENTITY:PETDRONE_FOX,ENTITY,PetDrone Fox,AI,AI,,,,,ACTIVE,Wildside
ARTIFACT:PETROCHEM_IEC_TANKER_SUBMARINES,ARTIFACT,Petrochem IEC Tanker Submarines,,,,,VEHICLE,,ACTIVE, [oai_citation:0‡Cyberpunk-2020-Corpbook-III-Petrochem-and-Sovoil.pdf](file-service://file-2wcG7sM4iEt6LmgudkzPKR)
ARTIFACT:PETROCHEM_VIRAL_AGENTS,ARTIFACT,Petrochem Viral Agents,,,,,ARTIFACT,,ACTIVE, [oai_citation:1‡Cyberpunk-2020-Corpbook-III-Petrochem-and-Sovoil.pdf](file-service://file-2wcG7sM4iEt6LmgudkzPKR)
ARTIFACT:MILITECH_SPECIAL_PROJECTS_DIVISION_SPD,ARTIFACT,Militech Special Projects Division (SPD),,,,,ARTIFACT,,ACTIVE, [oai_citation:2‡Cyberpunk-2020-Corpbook-II-Lazarus-and-Militech.pdf](file-service://file-RjMtVC5WH3ngRS881TDxms)
ARTIFACT:MILITECH_PROVING_GROUNDS,ARTIFACT,Militech Proving Grounds,,,,,ARTIFACT,,ACTIVE, [oai_citation:3‡Cyberpunk-2020-Corpbook-II-Lazarus-and-Militech.pdf](file-service://file-RjMtVC5WH3ngRS881TDxms)
ARTIFACT:MILITECH_LACONIA_ARMS_RD_FACILITY,ARTIFACT,Militech Laconia Arms R&D Facility,,,,,ARTIFACT,,ACTIVE, [oai_citation:4‡Cyberpunk-2020-Corpbook-II-Lazarus-and-Militech.pdf](file-service://file-QF1utnvWumobJid2JYtvDz)
ARTIFACT:SOVOIL_STEEL_AND_HEAVY_INDUSTRY_CONTRACTS,ARTIFACT,SovOil Steel and Heavy Industry Contracts,,,,,ARTIFACT,,ACTIVE, [oai_citation:5‡Cyberpunk-2020-Corpbook-III-Petrochem-and-Sovoil.pdf](file-service://file-2wcG7sM4iEt6LmgudkzPKR)
ARTIFACT:ARASAKA_CORPORATE_TOWER_HQ,ARTIFACT,Arasaka Corporate Tower (HQ),,,,,ARTIFACT,,ACTIVE, [oai_citation:6‡cyberpunk-2020-solo-of-fortune.pdf](file-service://file-4ktmyTTeG6CSDZYc8RHvpo)
ARTIFACT:MILITECH_DOWNTOWN_SHOWROOM,ARTIFACT,Militech Downtown Showroom,,,,,ARTIFACT,,ACTIVE, [oai_citation:7‡Cyberpunk-2020-Corpbook-II-Lazarus-and-Militech.pdf](file-service://file-QF1utnvWumobJid2JYtvDz)
ARTIFACT:MILITECH_EXECUTIVE_RESIDENCES,ARTIFACT,Militech Executive Residences,,,,,ARTIFACT,,ACTIVE, [oai_citation:8‡Cyberpunk-2020-Corpbook-II-Lazarus-and-Militech.pdf](file-service://file-RjMtVC5WH3ngRS881TDxms)
ARTIFACT:MILITECH_AVX_VIPER_COMBAT_AERODYNE,ARTIFACT,Militech AVX Viper Combat Aerodyne,,,,,VEHICLE,,ACTIVE, [oai_citation:9‡Cyberpunk-2020-Corpbook-II-Lazarus-and-Militech.pdf](file-service://file-QF1utnvWumobJid2JYtvDz)
ARTIFACT:PETROCHEM_CHOOH2_FARMS,ARTIFACT,Petrochem CHOOH2 Farms,,,,,ARTIFACT,,ACTIVE, [oai_citation:10‡Cyberpunk-2020-Corpbook-III-Petrochem-and-Sovoil.pdf](file-service://file-2wcG7sM4iEt6LmgudkzPKR)
ARTIFACT:MILITECH_SMALL_ARMS_PROTOTYPE,ARTIFACT,Militech Small Arms Prototype,,,,,ARTIFACT,,ACTIVE, [oai_citation:11‡Cyberpunk-2020-Corpbook-II-Lazarus-and-Militech.pdf](file-service://file-QF1utnvWumobJid2JYtvDz)
EVENT:STREET_RACE_0,EVENT,Street Race,,,,STREET_JOB,,,ACTIVE,
EVENT:PAWN_HUSTLE_1,EVENT,Pawn Hustle,,,,STREET_JOB,,,ACTIVE,
EVENT:SCAVENGER_RUN_2,EVENT,Scavenger Run,,,,STREET_JOB,,,ACTIVE,
EVENT:RUN_THE_DOOR_3,EVENT,Run the Door,,,,STREET_JOB,,,ACTIVE,
EVENT:FOOD_HEIST_4,EVENT,Food Heist,,,,STREET_JOB,,,ACTIVE,
Silencer,GEAR,ARTIFACT,,,,,Blackhand’s,,,"Reduces firing noise, -2 detection rolls"
Extended Magazine,GEAR,ARTIFACT,,,,,Core Rulebook,,,Increases ammo capacity by 50%
Smartgun Link,GEAR,ARTIFACT,,,,,Chromebook 3/4,,,"Auto-aim assistance, +2 to hit"
Laser Sight,GEAR,ARTIFACT,,,,,Chromebook 2,,,"Improves hip-fire accuracy, +1 to hit"
Gyroscopic Stabilizer,GEAR,ARTIFACT,,,,,Blackhand’s,,,"Reduces recoil, -1 recoil penalty"
Biometric Grip,GEAR,ARTIFACT,,,,,Core Rulebook,,,"Requires user fingerprint, prevents theft"
Recoil Compensator,GEAR,ARTIFACT,,,,,Chromebook 3,,,"Improves burst control, +1 accuracy"
Smart Ammo Compatibility,GEAR,ARTIFACT,,,,,Chromebook 4,,,Allows use of smart ammo types
Heat Dissipation System,GEAR,ARTIFACT,,,,,Maximum Metal,,,Prevents overheating in sustained fire
Quick-Detach Stock,GEAR,ARTIFACT,,,,,Blackhand’s,,,Allows rapid removal of stock
Silicon Trigger,GEAR,ARTIFACT,,,,,Core Rulebook,,,"Softens trigger pull, +1 accuracy"
Underbarrel Grenade Launcher,GEAR,ARTIFACT,,,,,Blackhand’s,,,Adds explosive capability
Thermal Scope,GEAR,ARTIFACT,,,,,Chromebook 3,,,"Detects heat signatures, +2 to spotting"
Night Vision Scope,GEAR,ARTIFACT,,,,,Chromebook 2,,,"Improves vision in darkness, +1 to spotting"
Laser Designator,GEAR,ARTIFACT,,,,,Blackhand’s,,,Marks targets for smart weapons
Tactical Flashlight,GEAR,ARTIFACT,,,,,Core Rulebook,,,"Illuminates target, -1 concealment"
Silencer (Heavy),GEAR,ARTIFACT,,,,,Maximum Metal,,,"Reduces noise, -3 detection rolls"
Shock Stock,GEAR,ARTIFACT,,,,,Chromebook 4,,,Delivers electric shock on melee hit
Quick Reload Mechanism,GEAR,ARTIFACT,,,,,Blackhand’s,,,Reduces reload time by 1 action
ARTIFACT:2_SHOT_CAPACITOR_LASER,ARTIFACT,2 shot Capacitor Laser,,,,,WEAPON,,,2 shot Capacitor Laser
ARTIFACT:A1_FLESH_MOUNT_CYBERFINGER_ADD_ON,ARTIFACT,A1 Flesh Mount Cyberfinger Add-on,,,,,Body/Hand Add-on,,,Chromebook 3-4 p.4 [oai_citation:8‡Cyberpunk-2020-CP3511-Chromebook-3-4-Official.pdf](file-service://file-1zcemsVMpPsBXG5hEWUZ97)
ARTIFACT:ADRENAL_BOOSTER,ARTIFACT,Adrenal Booster,,,,,Implants,,,Adrenal Booster
ARTIFACT:ADVANCED_MUSCLE_BONE_LACE,ARTIFACT,Advanced Muscle/Bone Lace,,,,,Bioware/Nanotech,,,Chromebook 3-4 p.17 [oai_citation:2‡Cyberpunk-2020-CP3511-Chromebook-3-4-Official.pdf](file-service://file-1zcemsVMpPsBXG5hEWUZ97)
ARTIFACT:AMPLIFIED_HEARING,ARTIFACT,Amplified Hearing,,,,,Cyberaudio,,,Amplified Hearing
ARTIFACT:AUDIOVOX,ARTIFACT,AudioVox,,,,,Cyberware,,,AudioVox
ARTIFACT:AUDIO_VIDEO_TAPE_RECORDER,ARTIFACT,Audio/Video Tape Recorder,,,,,Cyberware,,,Audio/Video Tape Recorder
ARTIFACT:AV_TAPE_RECORDER,ARTIFACT,AV Tape Recorder,,,,,BUILTIN,,,AV Tape Recorder
ARTIFACT:B1_ONE_SHOT_SPECIAL_(CYBERFINGER_WEAPON),ARTIFACT,B1 One-Shot Special (Cyberfinger Weapon),,,,,Cyberfingers/Weapon,,,Chromebook 3-4 p.4 [oai_citation:9‡Cyberpunk-2020-CP3511-Chromebook-3-4-Official.pdf](file-service://file-1zcemsVMpPsBXG5hEWUZ97)
ARTIFACT:BIG_KNUCKS,ARTIFACT,Big Knucks,,,,,Cyberweapons,,,Big Knucks
ARTIFACT:BIOMONITOR,ARTIFACT,Biomonitor,,,,,Fashionware,,,Biomonitor
ARTIFACT:BUG_DETECTOR,ARTIFACT,Bug Detector,,,,,Cyberaudio,,,Bug Detector
ARTIFACT:BUZZHAND,ARTIFACT,BuzzHand,,,,,HAND,,,BuzzHand
ARTIFACT:CHEMICAL_ANALYSER,ARTIFACT,Chemical Analyser,,,,,Cyberware,,,Chemical Analyser
ARTIFACT:CHIPWARE_SOCKET,ARTIFACT,Chipware Socket,,,,,Neuralware,,,Chipware Socket
ARTIFACT:COLOR_SHIFT,ARTIFACT,Color Shift,,,,,Cyberoptic,,,Color Shift
ARTIFACT:CONTRACEPTIVE_IMPLANT,ARTIFACT,Contraceptive Implant,,,,,Implants,,,Contraceptive Implant
ARTIFACT:CORVETTE_CYBERLEGS,ARTIFACT,Corvette Cyberlegs,,,,,Full Cyberlimb/Leg,,,Chromebook 3-4 p.5 [oai_citation:7‡Cyberpunk-2020-CP3511-Chromebook-3-4-Official.pdf](file-service://file-1zcemsVMpPsBXG5hEWUZ97)
ARTIFACT:CYBERMODEM_(BUILT_IN),ARTIFACT,Cybermodem (Built-in),,,,,BUILTIN,,,Cybermodem
ARTIFACT:CYBERMODEM_LINK,ARTIFACT,Cybermodem Link,,,,,Neuralware,,,Cybermodem Link
ARTIFACT:CYBERSNAKE,ARTIFACT,Cybersnake,,,,,Cyberweapons,,,Cybersnake
ARTIFACT:DARTGUN,ARTIFACT,Dartgun,,,,,Cyberoptic,,,Dartgun
ARTIFACT:DATATERM_LINK,ARTIFACT,DataTerm Link,,,,,Neuralware,,,DataTerm Link
ARTIFACT:DIGITALCAMERA,ARTIFACT,DigitalCamera,,,,,Cyberoptic,,,DigitalCamera
ARTIFACT:DIGITAL_RECORDER_(BUILT_IN),ARTIFACT,Digital Recorder (Built-in),,,,,BUILTIN,,,Digital Recorder
ARTIFACT:DIGITAL_RECORDER_(IMPLANT),ARTIFACT,Digital Recorder (Implant),,,,,Implants,,,Digital Recorder
ARTIFACT:DIGITAL_RECORDING_LINK,ARTIFACT,Digital Recording Link,,,,,Cyberaudio,,,Digital Recording Link
ARTIFACT:DORNIER_BAUER_BIOTECHNISCHE_NEURAL_BRIDGE,ARTIFACT,Dornier-Bauer Biotechnische Neural Bridge,,,,,Bioware,,,Chromebook 3-4 p.22 [oai_citation:5‡Cyberpunk-2020-CP3511-Chromebook-3-4-Official.pdf](file-service://file-1zcemsVMpPsBXG5hEWUZ97)
ARTIFACT:ENHANCED_ANTIBODIES,ARTIFACT,Enhanced Antibodies,,,,,Bioware,,,Enhanced Antibodies
ARTIFACT:EXTENSION_HAND,ARTIFACT,Extension Hand,,,,,HAND,,,Extension Hand
ARTIFACT:EXTRA_TWIST_JOINT_OPTION,ARTIFACT,Extra Twist Joint Option,,,,,Cyberlimb Add-on,,,Chromebook 3-4 p.3 [oai_citation:6‡Cyberpunk-2020-CP3511-Chromebook-3-4-Official.pdf](file-service://file-1zcemsVMpPsBXG5hEWUZ97)
ARTIFACT:FACEPLATE,ARTIFACT,Faceplate,,,,,Body Plating,,,Faceplate
ARTIFACT:FLAME_THROWER,ARTIFACT,Flame Thrower,,,,,WEAPON,,,Flame Thrower
ARTIFACT:FRAME_SS,ARTIFACT,Frame ß,,,,,Exoskeleton,,,Frame ß
ARTIFACT:FRAME_Σ,ARTIFACT,Frame Σ,,,,,Exoskeleton,,,Frame Σ
ARTIFACT:FRAME_Ω,ARTIFACT,Frame Ω,,,,,Exoskeleton,,,Frame Ω
ARTIFACT:FRONT_OPTIC_MOUNT,ARTIFACT,Front Optic Mount,,,,,Body Plating,,,Front Optic Mount
ARTIFACT:GILLS,ARTIFACT,Gills,,,,,Implants,,,Gills
ARTIFACT:GRAFTED_MUSCLE,ARTIFACT,Grafted Muscle,,,,,Bioware,,,Grafted Muscle
ARTIFACT:GRAPPLE_HAND,ARTIFACT,Grapple Hand,,,,,HAND,,,Grapple Hand
ARTIFACT:GRENADE_LAUNCHER,ARTIFACT,Grenade Launcher,,,,,WEAPON,,,Grenade Launcher
ARTIFACT:GRIP_FOOT,ARTIFACT,Grip Foot,,,,,FOOT,,,Grip Foot
ARTIFACT:HAMMERHAND,ARTIFACT,HammerHand,,,,,HAND,,,HammerHand
ARTIFACT:HIDDEN_HOLSTER,ARTIFACT,Hidden Holster,,,,,BUILTIN,,,Hidden Holster
ARTIFACT:HOMING_TRACER,ARTIFACT,Homing Tracer,,,,,Cyberaudio,,,Homing Tracer
ARTIFACT:IMAGE_ENHANCEMENT,ARTIFACT,Image Enhancement,,,,,Cyberoptic,,,Image Enhancement
ARTIFACT:IMPLANTED_FANGS_(VAMPIRES),ARTIFACT,Implanted Fangs (Vampires),,,,,Cyberweapons,,,Implanted Fangs (Vampires)
ARTIFACT:INDEPENDENT_AIR_SUPPLY,ARTIFACT,Independent Air Supply,,,,,Implants,,,Independent Air Supply
ARTIFACT:INFRARED,ARTIFACT,Infrared,,,,,Cyberoptic,,,Infrared
ARTIFACT:INTERFACE_PLUGS,ARTIFACT,Interface plugs,,,,,Neuralware,,,Interface plugs
ARTIFACT:KERENZIKOV_BOOSTERWARE,ARTIFACT,Kerenzikov Boosterware,,,,,Neuralware,,,Kerenzikov Boosterware
ARTIFACT:LCD_SCREEN_READOUT,ARTIFACT,LCD Screen Readout,,,,,BUILTIN,,,LCD Screen Readout
ARTIFACT:LEVEL_DAMPER,ARTIFACT,Level Damper,,,,,Cyberaudio,,,Level Damper
ARTIFACT:LIGHT_TATTOO,ARTIFACT,Light Tattoo,,,,,Fashionware,,,Light Tattoo
ARTIFACT:MACHINE_TECH_LINK,ARTIFACT,Machine/Tech Link,,,,,Neuralware,,,Machine/Tech Link
ARTIFACT:MEMORY_CHIPS,ARTIFACT,Memory Chips,,,,,Neuralware,,,Memory Chips
ARTIFACT:MICROVIDEO_OPTIC,ARTIFACT,MicroVideo Optic,,,,,Cyberoptic,,,MicroVideo Optic
ARTIFACT:MICRO_MISSILE_LAUNCHER,ARTIFACT,Micro-Missile Launcher,,,,,WEAPON,,,Micro-Missile Launcher
ARTIFACT:MICRO_OPTICS,ARTIFACT,Micro-optics,,,,,Cyberoptic,,,Micro-optics
ARTIFACT:MICRO_RECORDER_LINK,ARTIFACT,Micro-recorder Link,,,,,Cyberaudio,,,Micro-recorder Link
ARTIFACT:MINICAM,ARTIFACT,MiniCam,,,,,BUILTIN,,,MiniCam
ARTIFACT:MINIVID,ARTIFACT,MiniVid,,,,,BUILTIN,,,MiniVid
ARTIFACT:MODULAR_HAND,ARTIFACT,Modular Hand,,,,,HAND,,,Modular Hand
ARTIFACT:MOTION_DETECTOR,ARTIFACT,Motion Detector,,,,,Implants,,,Motion Detector
ARTIFACT:MR_STUDD_SEXUAL_IMPLANT,ARTIFACT,Mr Studd Sexual Implant,,,,,Implants,,,Mr Studd™ Sexual Implant
ARTIFACT:MUSCLE_&_BONE_LACE,ARTIFACT,Muscle & Bone Lace,,,,,Bioware/Nanotech,,,"CP3291 Listen Up, p.100–101 [oai_citation:1‡Cyberpunk-2020-CP3291-Listen-Up-You-Primitive-Screwheads-Official.pdf](file-service://file-Dd7Bb3LiJbHuxX1rmBpVNz)"
ARTIFACT:MUSCLE_AND_BONE_LACE,ARTIFACT,Muscle and Bone Lace,,,,,Bioware,,,Muscle and Bone Lace
ARTIFACT:NANOAUDITORY_REBUILD,ARTIFACT,Nanoauditory Rebuild,,,,,Nanotech/Audio,,,Chromebook 3-4 p.20 [oai_citation:3‡Cyberpunk-2020-CP3511-Chromebook-3-4-Official.pdf](file-service://file-1zcemsVMpPsBXG5hEWUZ97)
ARTIFACT:NANOSURGEONS,ARTIFACT,Nanosurgeons,,,,,Bioware,,,Nanosurgeons
ARTIFACT:NANO_CORE_HEALING_ADAPTIVE_NODE,ARTIFACT,Nano Core Healing/Adaptive Node,,,,,Nanotech/Adaptive Node,,,
ARTIFACT:NASAL_FILTERS,ARTIFACT,Nasal Filters,,,,,Implants,,,Nasal Filters
ARTIFACT:NEOLUNGS,ARTIFACT,Neolungs,,,,,Bioware,,,Chromebook 3-4 p.21 [oai_citation:4‡Cyberpunk-2020-CP3511-Chromebook-3-4-Official.pdf](file-service://file-1zcemsVMpPsBXG5hEWUZ97)
ARTIFACT:NEURAL_PROCESSOR,ARTIFACT,Neural Processor,,,,,Neuralware,,,Neural Processor
ARTIFACT:OLFACTORY_BOOST,ARTIFACT,Olfactory Boost,,,,,Neuralware,,,Olfactory Boost
ARTIFACT:PAIN_EDITOR,ARTIFACT,Pain Editor,,,,,Neuralware,,,Pain Editor
ARTIFACT:PHONE_SPLICE,ARTIFACT,Phone Splice,,,,,Cyberaudio,,,Phone Splice
ARTIFACT:POPUP_GUN,ARTIFACT,Popup Gun,,,,,WEAPON,,,Popup Gun
ARTIFACT:RADAR_DETECTOR,ARTIFACT,Radar Detector,,,,,Cyberaudio,,,Radar Detector
ARTIFACT:RADAR_SENSOR,ARTIFACT,Radar Sensor,,,,,Cyberware,,,Radar Sensor
ARTIFACT:RADIATION_DETECTOR,ARTIFACT,Radiation Detector,,,,,Cyberware,,,Radiation Detector
ARTIFACT:RADIO_LINK,ARTIFACT,Radio Link,,,,,Cyberaudio,,,Radio Link
ARTIFACT:REFLEX_CHIPS,ARTIFACT,Reflex Chips,,,,,Neuralware,,,Reflex Chips
ARTIFACT:RIPPERS,ARTIFACT,Rippers,,,,,Cyberweapons,,,Rippers
ARTIFACT:RIPPER_HAND,ARTIFACT,Ripper Hand,,,,,HAND,,,Ripper Hand
ARTIFACT:SANDEVISTAN_SPEEDWARE,ARTIFACT,Sandevistan Speedware,,,,,Neuralware,,,Speedware (Sandevistan)
ARTIFACT:SCRAMBLER,ARTIFACT,Scrambler,,,,,Cyberaudio,,,Scrambler
ARTIFACT:SCRATCHERS,ARTIFACT,Scratchers,,,,,Cyberweapons,,,Scratchers
"ARTIFACT:SENSE_EXT_(""RABBIT_EARS"")",ARTIFACT,"Sense ext. (""Rabbit Ears"")",,,,,Body Plating,,,"Sense ext. (""Rabbit Ears"")"
ARTIFACT:SHIFT_TACTS,ARTIFACT,Shift-tacts,,,,,Fashionware,,,Shift-tacts
ARTIFACT:SKINWATCH,ARTIFACT,Skinwatch,,,,,Fashionware,,,Skinwatch
ARTIFACT:SKINWEAVE,ARTIFACT,Skinweave,,,,,Bioware/Nanotech,,,"CP3291 Listen Up, p.98-100 [oai_citation:0‡Cyberpunk-2020-CP3291-Listen-Up-You-Primitive-Screwheads-Official.pdf](file-service://file-Dd7Bb3LiJbHuxX1rmBpVNz)"
ARTIFACT:SKIN_WEAVE,ARTIFACT,Skin Weave,,,,,Bioware,,,Skin Weave
ARTIFACT:SLICE_N’_DICE,ARTIFACT,Slice N’ Dice,,,,,Cyberweapons,,,Slice N’ Dice
ARTIFACT:SMARTGUN_LINK,ARTIFACT,Smartgun Link,,,,,Neuralware,,,Smartgun Link
ARTIFACT:SONAR_IMPLANT,ARTIFACT,Sonar Implant,,,,,Cyberware,,,Sonar Implant
ARTIFACT:SPIKE_HAND,ARTIFACT,Spike Hand,,,,,FOOT,,,Spike Hand
ARTIFACT:SPIKE_HEEL_FOOT,ARTIFACT,Spike Heel Foot,,,,,FOOT,,,Spike Heel Foot
ARTIFACT:STANDARD_ARM_REPLACEMENT,ARTIFACT,Standard Arm Replacement,,,,,Cyberarm,,,Standard Arm Replacement
ARTIFACT:STANDARD_FOOT,ARTIFACT,Standard Foot,,,,,FOOT,,,Standard Foot
ARTIFACT:STANDARD_HAND,ARTIFACT,Standard Hand,,,,,HAND,,,Standard Hand
ARTIFACT:STANDARD_LEG_REPLACEMENT,ARTIFACT,Standard Leg Replacement,,,,,Cyberleg,,,Standard Leg Replacement
ARTIFACT:STORAGE_SPACE,ARTIFACT,Storage Space,,,,,BUILTIN,,,Storage Space
ARTIFACT:SUBDERMAL_ARMOR,ARTIFACT,Subdermal Armor,,,,,Implants,,,Subdermal Armor
ARTIFACT:SUBDERMAL_POCKET,ARTIFACT,SubDermal Pocket,,,,,Implants,,,SubDermal Pocket
ARTIFACT:SYNTHSKINS,ARTIFACT,Synthskins,,,,,Fashionware,,,Synthskins
ARTIFACT:TACTILE_BOOST,ARTIFACT,Tactile Boost,,,,,Neuralware,,,Tactile Boost
ARTIFACT:TAG_BEAM_RADIO_LINK,ARTIFACT,Tag Beam Radio Link,,,,,Cyberaudio,,,Tag Beam Radio Link
ARTIFACT:TALON_FOOT,ARTIFACT,Talon Foot,,,,,FOOT,,,Talon Foot
ARTIFACT:TARGETING_SCOPE,ARTIFACT,Targeting Scope,,,,,Cyberoptic,,,Targeting Scope
ARTIFACT:TECHHAIR,ARTIFACT,Techhair,,,,,Fashionware,,,Techhair
ARTIFACT:TECHSCANNER,ARTIFACT,Techscanner,,,,,BUILTIN,,,Techscanner
ARTIFACT:TELEOPTICS,ARTIFACT,Teleoptics,,,,,Cyberoptic,,,Teleoptics
ARTIFACT:THERMOGRAPH_SENSOR,ARTIFACT,Thermograph sensor,,,,,Cyberoptic,,,Thermograph sensor
ARTIFACT:TIMES_SQUARE_MARQUEE,ARTIFACT,Times Square Marquee,,,,,Cyberoptic,,,Times Square Marquee
ARTIFACT:TOOL_FOOT,ARTIFACT,Tool Foot,,,,,FOOT,,,Tool Foot
ARTIFACT:TOOL_HAND,ARTIFACT,Tool Hand,,,,,HAND,,,Tool Hand
ARTIFACT:TORSO_PLATE,ARTIFACT,Torso Plate,,,,,Body Plating,,,Torso Plate
ARTIFACT:TOXIN_BINDERS,ARTIFACT,Toxin Binders,,,,,Bioware,,,Toxin Binders
ARTIFACT:ULTRAVIOLET,ARTIFACT,Ultraviolet,,,,,Cyberoptic,,,Ultraviolet
ARTIFACT:VEHICLE_LINK,ARTIFACT,Vehicle Link,,,,,Neuralware,,,Vehicle Link
ARTIFACT:VOICE_STRESS_ANALYZER,ARTIFACT,Voice Stress Analyzer,,,,,Cyberaudio,,,Voice Stress Analyzer
ARTIFACT:VOICE_SYNTHESIZER,ARTIFACT,Voice Synthesizer,,,,,Cyberware,,,Voice Synthesizer
ARTIFACT:WEAPON_MOUNT_&_LINK,ARTIFACT,Weapon Mount & Link,,,,,WEAPON,,,Weapon Mount & Link
ARTIFACT:WEB_FOOT,ARTIFACT,Web Foot,,,,,FOOT,,,Web Foot
ARTIFACT:WIDE_BAND_RADIO_SCANNER,ARTIFACT,Wide Band Radio Scanner,,,,,Cyberaudio,,,Wide Band Radio Scanner
ARTIFACT:WISEMAN_FULL_BORG_CONVERSION,ARTIFACT,Wiseman Full Borg Conversion,,,,,Fullborg/AI Conversion,,,
ARTIFACT:WOLVERS,ARTIFACT,Wolvers,,,,,Cyberweapons,,,Wolvers
,ARTIFACT,,,,,,,,,
ENTITY:SECURITY_CHIEF_CORP,ENTITY,Security Chief,PERSON,HUMAN,,,,,ACTIVE,DERIVED:[CORP_NPC_TEMPLATES]
ENTITY:JUNIOR_EXEC_CORP,ENTITY,Junior Exec,PERSON,HUMAN,,,,,ACTIVE,DERIVED:[CORP_NPC_TEMPLATES]
ENTITY:CORPORATE_ASSASSIN_CORP,ENTITY,Corporate Assassin,PERSON,HUMAN,,,,,ACTIVE,DERIVED:[CORP_NPC_TEMPLATES]
ENTITY:LEGAL_COUNSEL_CORP,ENTITY,Legal Counsel,PERSON,HUMAN,,,,,ACTIVE,DERIVED:[CORP_NPC_TEMPLATES]
ENTITY:BLACK_OPS_HANDLER_CORP,ENTITY,Black Ops Handler,PERSON,HUMAN,,,,,ACTIVE,DERIVED:[CORP_NPC_TEMPLATES]
ENTITY:PR_FACEPUBLICIST_CORP,ENTITY,PR Face/Publicist,PERSON,HUMAN,,,,,ACTIVE,DERIVED:[CORP_NPC_TEMPLATES]
ENTITY:HR_MONITOR_CORP,ENTITY,HR Monitor,PERSON,HUMAN,,,,,ACTIVE,DERIVED:[CORP_NPC_TEMPLATES]
ENTITY:PROJECT_LEAD_CORP,ENTITY,Project Lead,PERSON,HUMAN,,,,,ACTIVE,DERIVED:[CORP_NPC_TEMPLATES]
ENTITY:BIOTECH_SPECIALIST_CORP,ENTITY,Biotech Specialist,PERSON,HUMAN,,,,,ACTIVE,DERIVED:[CORP_NPC_TEMPLATES]
ENTITY:SPIN_DOCTOR_CORP,ENTITY,Spin Doctor,PERSON,HUMAN,,,,,ACTIVE,DERIVED:[CORP_NPC_TEMPLATES]
